Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
lunging	to lunge, a fencer, a sword fight	a sword	defensive, blocking, fainting	dojo, sparring ring	
siccing	a hunter, to hunt	a pack of dogs, hunting dogs	blocking, defensive, cowering	marshlands, marshlands with bodies, rubbish dump, muddy rubbish dump, slum, dark city, mud and rats	
swallowing	to swallow, tastes bad, an unpleasant taste	a bad meal	rumbling, spitting	kitchen, food truck	
betraying	to betray, a traitor, a betrayal	a snake	unaware, suspecting	rwanda, africa, sunny field, nightsky, mexico	
sniping	to target, to take aim, a marksman	a rifle	targeted	outdoors night, gun range	
judging	a judge, to judge someone, a prosecutor	a wig	put out, shrugging	courtroom	
scolding	to scold, to nag, to make a scene	a turd, a mess	plugging ears, shrugging	living room, playground, window cityview, graffiti covered wall	
smug	smug, condescending	crossed arms	overshadowed	trophy room, winners podium, charity event, red carpet event	
deceptive	to deceive, to lie, to plot	a rat	unaware	mud and rats, dark city, haiti, slum, backstage	
suspicious	suspicious, a suspect, a criminal, to hide evidence,  behave suspiciously	evidence, skeletons in the closet	suspecting, confused, worried, put out	boneyard, stone stairs, dungeon, attic	
silencing	to silence, sllence, shut up, please be quiet	sealed lips, No, I don't believe you	gagged, put out	police state, prison, red square	
oppressing	to oppress, cruel, brutal, vicious	a dictator, a tyrant	cowering, bowing, blocking, defensive	stalactite, police state, mordor, outdoors night	
troublemaking	a troublemaker, mischief, mischievous	dynamite, a lighter	insisting, scolding, disagreeing, critical	playground, protest march	
blocking, defensive, cowering, running away, regaining consciousness, fainting	running away	a hungry dog, a wild animal, a wolf	blocking, defensive, cowering, running away, regaining consciousness, fainting	stalactite, mordor, slum, haiti, mud and rats	
running away	a wild animal	a baying hound	running away	tower in swamp, mordor, mud and rats	
running away, fleeing, running off	the hunt, a chase, following the scent	a hunting dog	running away, fleeing, running off	tower in swamp, mordor, mud and rats	
running away, fleeing, running off	the hunt, a chase, following the scent	a pack of hounds	running away, fleeing, running off	tower in distance, mud and rats, haiti, rubbish dump, libya	
killing	to kill, a killer, a murderer	a knife and a gun, weapons	defensive, blocking, arrested, running away, scared	battlefield, graffiti covered wall	
mugging	a mugger, a thief, a robbery, a robber	stolen goods	arrested	graffiti covered wall, naples, wall daylight, wall night, outdoors night	
stealing	to steal, a thief, a robber	a theft	accusing, angry, sad	wall night, outdoors night	
terrorizing	a terrorist, a terror threat	a thunder bolt, lightning, a bomb	scared, cowering	apocalypse, mordor, libya	
whipping	to lash, torture	a whip	blocking, cowering, chained	boneyard	
whipping	a slave driver, a taskmaster, a tough boss, a boss		pushing a rock	cave rocks, boneyard, cave	
excommunicating	a sermon, to eject, to banish		defiant, demonic, taunting, rude, expelled	church, vatican	
exorcising	to expel		exorcised	vatican, haunted house, mordor	
taunting	to taunt, to tease, to mock, a jerk	a rude gesture	embarrassed, rejected, frowning, defiant	graffiti covered wall	
spitting	to spit, to react badly	saliva, I don't believe you	defiant, disgusted	graffiti covered wall	
haunting	a ghost, a dead man	a grave, a tombstone	scared, blocking, defensive, sad	graveyard, haunted house, graveyard with walls	
avenging angel	to avenge, an avenging angel, righteousmess	wings, a halo, justice, divine justice	exorcised, scared	tower in distance, haunted house, mordor	
crucified	religion	a wooden cross	praying, saintly, disappointed, sad, kneeling, pointing	river of blood	
rowing	crossing the river	a boat, a rowing boat	holding paddle	river of blood, rubbish on river bank	
blessing	to bless, a blessing,  a holy person, a true believer	a halo	praying	church	
blessing	to bless, a blessing, a saint, a holy person, a true believer		praying	church	
praying	to pray, a prayer, on one knee		condescending, blessing, towering	church	
angelic	an angel, an angel from heaven	wings, a halo, heaven	praying, saintly	barcelona, vienna	
saintly	a saint, a true believer	a halo	impressed, shrugging, condescending	church, vatican, israel	
worshipped	famous, on a pedestal, a celebrity, a winner	a pedestal, fame, a president, a celebrity	praying, impressed, indicating, pointing	winners podium, parthenon	
exorcised	terrified, shaking like a leaf	a ghost	exorcising	haunted house, graveyard, graveyard with walls	
preachy	preaching, a preacher, a sermon	a cross	plugging ears, shrugging	church, vatican, vienna	
sacrificing	a sacrifice, a blood sacrifice	a ritual, a sacrificial lamb, an innocent lamb	leading, brainwashed, praying	church, mexico	
blaspheming	anger, rage, burning with anger	clenched fists, a burning rage	exorcising, blocking, defensive, cowering	apocalypse	
demonic	a demon, demonic	hell	angelic, exorcising, excommunicating	gates of hell, mordor	
experimenting	a scientist, a guinea pig, a test subject, a mad scientist	a syringe, a needle, a drug	sick, regaining consciousness	laboratory	
operating	a surgeon, surgery	a surgical knife, a surgical mask	regaining consciousness, fainting, rumbling	laboratory	
stargazing	an astronomer, looking at the stars	a telescope	towering, pointing	observatory, nightsky, milky way	
foreboding	a bad feeling, a pessimist, pessimistic, a bad situation	a dark cloud, a black cloud	using umbrella, shielding with umbrella	extinction, tornado, volcano, distant volcano, lava	
disgusting	untidy, a slob, unhygienic, disgusting	a turd, rats	disgusted, critical, accusing, holding nose, covering eyes	toilet, slum, muddy rubbish dump	
arrested	under arrest, a suspect		accusing, arresting	police state, red square, protest march	
begging	a beggar, begging, desperate, Please help me!	a beggar	tipping	slum, haiti, syria	
bowling	to bowl, bowling, a bowling alley	a bowling ball	evaluating	high windows interior	
brainwashed	a slave, a zombie, mind control	a robot, a zombie	brainwashing	laundrette	
building	to build, a builder, construction, a new building	bricks, cement	carrying	building site	
carrying	to carry, carrying, carrying boxes	boxes, a delivery	building	building site	
carrying for	a burden	boxes, a delivery	indicating	factory, superstore	
carrying bowl	a bowl, a glass bowl	a ladle	indicating, drinking, sipping	garden party, beach party	
carrying fishbowl	a fish bowl,  a pet fish	a goldfish	sharktank prop, manipulating	boat dock, luxury yacht	
chained	chains, a prisoner, a captive	locks	whipping, freeing	prison, dungeon, stone stairs, boneyard	
challenging	a challenger, a challenge, issuing a challenge	a challenger	fighting	battlefield, dojo, sparring ring	
charmed	charmed, flattered	I believe you	charmed, smitten	coffee shop, coffee shop window	
charmed	charming, a charming smile, a charmer	I trust you	enchanting, snake charming, tempting	maralago, ireland, scotland	
childish	childish, a child	a toy, a doll, a plaything, young	feeding	dining room, living room, 	
infantile	a baby, an infant	a diaper, young	feeding	kitchen	
cleaning	to clean, a cleaner, cleaning	soap, a sponge, a rubber duck	cooking	kitchen	
slopping	a bucket, a cleaner, a janitor, filling a bucket with water	a bucket, a full bucket	cleaning	laundrette, toilet	
picnicking	a picnic, good weather, a lovely day, a nice day	a basket	walking a dog	picnic, sunny field	
leaking	a leak, making a mess	a leaking bucket, a problem	cleaning	toilet	
committing	loyalty, commitment, following a cause, dedicated	a sword, an ambassador, a zealot	ruling, commanding	tower tops, drawbridge, iron throne	
golfing	to play golf, a golfer, playing golf	a golf club, retiring	suave	maralago, ireland, scotland	
competing	to compete, a player, a competitor, a soccer player, a defender	a ball	competing with	sports field, garden, school sportsfield	
competing for	to compete, a player, a competitor, a soccer player, a striker	a ball	sprinting	sports field, garden, school sportsfield	
competing with	running, running into action		competing	sports field, garden, school sportsfield	
confident	confidence, confident, standing proud	pride	introducing oneself	charity event, garden party, red carpet event	
confused	confused, confusion, I don't understand		critical, laughing	jazz club, comedy club	
cooking	to cook, a cook	a mixing bowl, a spoon	hungry, eating	kitchen	
cooking	a cookbook		reading, discarding book	kitchen, dining room	
cutting bread	to cut bread, a loaf of bread	a sandwich, a cutting board, a bread knife	cutting the cheese	kitchen, dining room	
cutting the cheese	to cut cheese, cheese	a cheese knife, a cheese board	eating grapes, cutting bread	kitchen, dining room	
creating	to create, to invent, to imagine, an inventor, a genius	a lightbulb, an invention, a new technology	inspired, praising	drawing board, science fair	
mounting bicycle	a bicycle, a cyclist	a bicycle	cycling, dismounting bicycle	welcome mat, suburbs	
dismounting bicycle	a bicycle, a cyclist	a bicycle	cycling, mounting bicycle	welcome mat, suburbs	
cycling	to ride a bike, a bicycle, a cyclist	a bicycle, going to work	rollerskating	boulevard, school courtyard	
motorcycling	a motorcycle, a biker	a motorbike	plugging ears, speeding	boulevard, open road, busy intersection	
dead	dead, to die	a grave, a tombstone	sad, depressed, disappointed	graveyard, graveyard with walls	
defending	to defend, a defender, a protector, to protect	a rifle	saluting, confident, worried	city gates, pentagon, military base, drawbridge	
depressed	feeling depressed, depression	a rain cloud, raining	sympathetic, using umbrella	rain, rain and clouds, rainy forest	
designing	to design, a designer, a design, a blueprint, a genius, research	a designer, a design, a researcher	inspired, praising, creating	drawing board, science fair, workshop	
disappointed	to feel disappointed, disappointment, rejected	homeless, unemployed, nobody	sympathetic	rain, rain and clouds, rainy forest	
skunk	a skunk, a bad smell, a stink	a skunk	disgusted, critical, accusing, holding nose, covering eyes	rubbish dump, swamp gas, muddy rubbish dump, slum, mud and rats	
elephant	an elephant	a long nose, a big nose	donkey prop	government, protest march	
dispatched	on a mission	a mission	commanding	pentagon, military base	
dressing	to get dressed, to change clothes, let me throw on some clothes	clothing, clothes, fashion	nude	bedroom, changing room, backstage	
drinking coffee	drinking coffee, a coffee drinker	coffee, a coffee cup	enticing	restaurant, window interior, coffee shop, living room, dining room	
driving	to drive, a driver	a steering wheel	speeding	open road, busy intersection, billboard on highway, billboard on busy highway, busy traffic in city	
speeding	to drive fast, speeding, dangerous driving	a dangerous driver	driving, transporting	open road, busy intersection, billboard on highway, billboard on busy highway, busy traffic in city	
dying	to die, dying, a mourner, grief	mourning	sad, disappointed, covering eyes	graveyard, graveyard with walls	
